State,Funding_Total,Funding_Federal,Funding_State,Funding_Local,Expenditure_Total,Funding_Federal_TitleI,Funding_Federal_SpecialEd,Funding_Federal_ChildNutrition,Funding_Federal_Vocational,Funding_Federal_Other,State Population,Enrollment,Funding_TotalperStudent,Funding_FederalperStudent,Funding_StateperStudent,Funding_LocalperStudent,cat1_18to24,cat2_18to24,cat3_18to24,cat4_18to24,cat1_25,cat2_25,cat3_25,cat4_25,income
Alabama,8714919000,936078000,4942651000,2836190000,8473860000,240491000,174955000,273726000,13041000,216068000,5025000,743012,11729.18,1259.84,6652.18,3817.15,13.40%,36.30%,41.20%,9.10%,12.10%,31.30%,29.20%,27.40%,53913.00
Alaska,2611686000,381757000,1659732000,570197000,2612622000,60688000,34169000,50488000,3716000,28486000,732000,132017,19782.95,2891.73,12572.11,4319.12,13.20%,49.90%,33.40%,3.50%,6.70%,27.90%,32.60%,32.80%,77845.00
Arizona,10103394000,1231345000,4457403000,4414646000,9904670000,297653000,179165000,324689000,24313000,202783000,7178000,936332,10790.4,1315.07,4760.49,4714.83,14.70%,35.90%,38.90%,10.50%,11.00%,23.50%,33.10%,32.40%,69056.00
Arkansas,5635653000,600660000,4241285000,793708000,5851201000,147766000,133069000,187153000,7754000,106747000,3012000,476465,11828.05,1260.66,8901.57,1665.83,11.50%,40.00%,38.80%,9.70%,11.30%,34.10%,29.30%,25.30%,52528.00
California,95534088000,7995360000,52444323000,35094405000,95417717000,1869145000,1928098000,2109211000,49714000,1536483000,39500000,5641492,16934.19,1417.24,9296.18,6220.77,9.50%,34.10%,44.10%,12.20%,15.50%,20.70%,27.60%,36.20%,84907.00
Colorado,12918630000,834034000,5353295000,6731301000,13007701000,146786000,153957000,191896000,7169000,255824000,5784000,891187,14495.98,935.87,6006.93,7553.19,12.30%,35.20%,38.40%,14.10%,7.50%,20.10%,27.90%,44.40%,82254.00
Connecticut,12018214000,469771000,4486792000,7061651000,11587486000,109500000,123425000,151717000,6658000,38666000,3600000,483151,24874.65,972.31,9286.52,14615.83,9.00%,30.90%,42.00%,18.20%,8.90%,25.50%,23.40%,42.10%,83771.00
Delaware,2475301000,149476000,1555571000,770254000,2305582000,44286000,29067000,45006000,3461000,17854000,992000,123566,20032.22,1209.69,12588.99,6233.54,12.40%,36.20%,42.00%,9.40%,8.70%,28.30%,27.40%,35.60%,71091.00
Florida,32717733000,3379157000,12426925000,16911651000,32618391000,869645000,663562000,1020621000,34499000,546046000,21570000,2838569,11526.14,1190.44,4377.88,5957.81,13.20%,33.90%,41.30%,11.50%,10.20%,27.70%,28.90%,33.20%,63062.00
Georgia,23612314000,1823882000,10908377000,10880055000,22903008000,546463000,327391000,654679000,16360000,211377000,10726000,1735585,13604.82,1050.87,6285.13,6268.81,14.30%,37.40%,37.30%,11.00%,11.00%,26.70%,27.60%,34.60%,66559.00
